,Theme,Sub Theme,Feature Name,lat,lon
0,Retail,Retail,Council House 2 ,-37.8142591432011,144.966638432727
1,Leisure/Recreation,Informal Outdoor Facility ,Carlton Gardens South,-37.8060684577258,144.971266479841
2,Place of Worship,Church,Wesley Church,-37.8101576446961,144.968168215633
3,Place of Worship,Church,St Augustines Church,-37.8169741358546,144.954862000132
4,Place of Worship,Church,Church of Christ,-37.8104524079085,144.96388920294
5,Place of Worship,Church,Holy Trinity,-37.8140667110854,144.983197322289
6,Place of Worship,Church,Melbourne Unitarian Church,-37.8114487773394,144.984664890999
7,Place of Worship,Church,All Nations Uniting Church,-37.7959155303946,144.968981110942
8,Place of Worship,Church,Our Lady of Lebanon Church,-37.8025766539683,144.969334720932
9,Place of Worship,Church,St Alban Anglican Church,-37.7942169477929,144.94161451392
10,Place of Worship,Church,Christ Church Kensington,-37.7932109480553,144.92729572288
11,Place of Worship,Church,Holy Rosary,-37.7948087414394,144.928362125005
12,Community Use,Police Station,Victoria Police,-37.8003121288849,144.954697453742
13,Community Use,Police Station,Victoria Police,-37.8219773910249,144.953398014034
14,Leisure/Recreation,Private Sports Club/Facility,Royal Park Golf Course,-37.7819171308558,144.956309119368
15,Leisure/Recreation,Major Sports & Recreation Facility,Visy Park,-37.7834303940347,144.961982577553
16,Place Of Assembly,Gallery/Museum,Old Melbourne Gaol Crime & Justice Experience,-37.8077644149636,144.965463853978
17,Place Of Assembly,Theatre Live,Playhouse,-37.8218124583016,144.968337832721
18,Leisure/Recreation,Informal Outdoor Facility ,Batman Park,-37.8218460949601,144.956665812218
19,Place Of Assembly,Function/Conference/Exhibition Centre,Melbourne Exhibition Centre,-37.8252455123297,144.95435243249
20,Place Of Assembly,Gallery/Museum,Polly Woodside,-37.8242574266145,144.953478052064
21,Place Of Assembly,Gallery/Museum,Victorian Arts Centre,-37.8219947335768,144.968837288153
22,Community Use,Public Buildings,Melbourne Town Hall,-37.8150754791411,144.966542722283
23,Retail,Retail,DFO South Wharf,-37.824887401234,144.949794297819
24,Community Use,Public Buildings,Sidney Myer Music Bowl,-37.8233471608733,144.974686151365
25,Place Of Assembly,Gallery/Museum,The Ian Potter Centre: NGV Australia,-37.8174831423197,144.969899048343
26,Place Of Assembly,Film & RV Studio,Channel 7 - Melbourne Broadcast Centre,-37.8158572333481,144.94582326909
27,Leisure/Recreation,Major Sports & Recreation Facility,AAMI Park,-37.8247252673963,144.98380297866
28,Place Of Assembly,Function/Conference/Exhibition Centre,Central Pier,-37.8165177307702,144.943475014215
29,Leisure/Recreation,Observation Tower/Wheel,Melbourne Star Observation Wheel,-37.8116163666726,144.937588920436
30,Leisure/Recreation,Major Sports & Recreation Facility,Margaret Court Arena,-37.8213252086842,144.977591098955
31,Place Of Assembly,Theatre Live,MTC Theatre,-37.8242661832902,144.968174400274
32,Community Use,Public Buildings,NGV International,-37.8230135000869,144.969342535451
33,Leisure/Recreation,Informal Outdoor Facility ,Birrarung Marr,-37.81806108403,144.97314667014
34,Leisure/Recreation,Indoor Recreation Facility,Artplay,-37.8184198800044,144.971542586509
35,Leisure/Recreation,Informal Outdoor Facility ,Riverslide Skate Park,-37.8207887122448,144.972951789291
36,Leisure/Recreation,Informal Outdoor Facility ,Royal Park,-37.7906174256581,144.953834240647
37,Leisure/Recreation,Informal Outdoor Facility ,Shrine of Rembrance Reserve,-37.8320733992876,144.973628364465
38,Leisure/Recreation,Informal Outdoor Facility ,Royal Botanic Gardens,-37.8306631583233,144.980850432751
39,Leisure/Recreation,Informal Outdoor Facility ,Yarra Park,-37.820469374101,144.986671109615
40,Leisure/Recreation,Indoor Recreation Facility,Icehouse,-37.8121881194053,144.935684018873
41,Leisure/Recreation,Informal Outdoor Facility ,Darling Square,-37.81299206932,144.989062559512
42,Place Of Assembly,Gallery/Museum,Victoria Police Museum,-37.8222182774409,144.954039975197
43,Place Of Assembly,Gallery/Museum,Immigration Museum,-37.8191798798062,144.960426777129
44,Place of Worship,Church,St Pauls Cathedral,-37.8169549012399,144.967681647402
45,Place Of Assembly,Gallery/Museum,Fire Services Museum Victoria,-37.8085761281612,144.975373745366
46,Place Of Assembly,Gallery/Museum,The Ian Potter Museum Of Art,-37.7973939595503,144.964156669702
47,Retail,Retail,QV Village,-37.8106891897454,144.965714574014
48,Leisure/Recreation,Informal Outdoor Facility ,Parliament Reserve,-37.809852620638,144.973462202839
49,Leisure/Recreation,Major Sports & Recreation Facility,North Melbourne Recreation Centre ,-37.7999470049655,144.943290801869
50,Leisure/Recreation,Gymnasium/Health Club,North Melbourne Recreation Centre ,-37.7997051197931,144.940368286395
51,Leisure/Recreation,Indoor Recreation Facility,Carlton Baths,-37.7934377042609,144.971696548624
52,Community Use,Public Buildings,Conservatory,-37.814002127195,144.9785597431
53,Retail,Retail,Eureka Tower,-37.8215157539717,144.964456721965
54,Retail,Retail,Freshwater Place,-37.8219745489446,144.96246144843
55,Community Use,Visitor Centre,Melbourne Visitor Centre,-37.8177352402006,144.967937138226
56,Place Of Assembly,Gallery/Museum,Australian Centre For The Moving Image ,-37.8176107327202,144.969070431323
57,Place Of Assembly,Function/Conference/Exhibition Centre,Dallas Brooks Centre,-37.8097374138234,144.981383411592
58,Place of Worship,Church,St Francis Church,-37.8118847831837,144.962422614541
59,Place of Worship,Church,St James Church,-37.8101281201969,144.952468571683
60,Place of Worship,Church,St Mary's Anglican Church,-37.8031663672997,144.953761537074
61,Place of Worship,Church,Scots Church,-37.8145687802664,144.96855105335
62,Place of Worship,Church,St Michael's Uniting Church,-37.8143851324913,144.969174036096
